(-0.8776632932645994+0j),0.8776632932645994j,-0.47927773123309014j,(-0.47927773123309014+0j)
(-0.8795229532302011+0j),0.8795229532302011j,-0.4758564644314773j,(-0.4758564644314773+0j)
(-0.8563317899398472+0j),0.8563317899398472j,-0.5164260504064618j,(-0.5164260504064618+0j)
(-0.8611380455977359+0j),0.8611380455977359j,-0.5083711896086479j,(-0.5083711896086479+0j)
(-0.8300324414306085+0j),0.8300324414306085j,-0.5577151120175459j,(-0.5577151120175459+0j)
(-0.840455910451477+0j),0.840455910451477j,-0.5418799337373356j,(-0.5418799337373356+0j)
(-0.780931472122639+0j),0.780931472122639j,-0.6246167111504206j,(-0.6246167111504206+0j)
(-0.7907176239685108+0j),0.7907176239685108j,-0.6121810509527331j,(-0.6121810509527331+0j)
(-0.7254874244052137+0j),0.7254874244052137j,-0.6882354226788165j,(-0.6882354226788165+0j)
(-0.7443944994449474+0j),0.7443944994449474j,-0.6677400910504822j,(-0.6677400910504822+0j)
(-0.7931136935262728+0j),0.7931136935262728j,-0.6090736155351943j,(-0.6090736155351943+0j)
(-0.7977879418727492+0j),0.7977879418727492j,-0.6029381392833292j,(-0.6029381392833292+0j)
(-0.7781284570207875+0j),0.7781284570207875j,-0.6281051698357915j,(-0.6281051698357915+0j)
(-0.781949552203543+0j),0.781949552203543j,-0.6233417183284612j,(-0.6233417183284612+0j)
(-0.7253136164674627+0j),0.7253136164674627j,-0.6884185919677726j,(-0.6884185919677726+0j)
(-0.7431799599501301+0j),0.7431799599501301j,-0.6690915835134403j,(-0.6690915835134403+0j)
(-0.7557403569855917+0j),0.7557403569855917j,-0.6548713712045219j,(-0.6548713712045219+0j)
(-0.7586598867809705+0j),0.7586598867809705j,-0.6514868964065857j,(-0.6514868964065857+0j)
(-0.7416976032121622+0j),0.7416976032121622j,-0.6707344223978177j,(-0.6707344223978177+0j)
(-0.746053254467049+0j),0.746053254467049j,-0.665886282708335j,(-0.665886282708335+0j)
(-0.7337993221784974+0j),0.7337993221784974j,-0.6793662891035865j,(-0.6793662891035865+0j)
(-0.7222774163405496+0j),0.7222774163405496j,-0.6916034512959146j,(-0.6916034512959146+0j)
(-0.5214036977900031+0j),0.5214036977900031j,-0.8533101334983146j,(-0.8533101334983146+0j)
(-0.5649363486910687+0j),0.5649363486910687j,-0.825134487176244j,(-0.825134487176244+0j)
(-0.2581740106463122+0j),0.2581740106463122j,-0.9660984319554599j,(-0.9660984319554599+0j)
(-0.32790273710544243+0j),0.32790273710544243j,-0.9447114877033936j,(-0.9447114877033936+0j)
(-0.5726356363431107+0j),0.5726356363431107j,-0.8198099950536838j,(-0.8198099950536838+0j)
(-0.592916752581899+0j),0.592916752581899j,-0.8052637608310305j,(-0.8052637608310305+0j)
(-0.5084243237025907+0j),0.5084243237025907j,-0.8611066757769118j,(-0.8611066757769118+0j)
(-0.5258374521898116+0j),0.5258374521898116j,-0.8505850773876342j,(-0.8505850773876342+0j)
(-0.24816923505395752+0j),0.24816923505395752j,-0.9687166927294758j,(-0.9687166927294758+0j)
(-0.31567063586316096+0j),0.31567063586316096j,-0.9488688263684016j,(-0.9488688263684016+0j)
(-0.3884766791049398+0j),0.3884766791049398j,-0.9214585556559763j,(-0.9214585556559763+0j)
(-0.4055718390462004+0j),0.4055718390462004j,-0.9140631725283997j,(-0.9140631725283997+0j)
(-0.30549985602874863+0j),0.30549985602874863j,-0.9521921224030443j,(-0.9521921224030443+0j)
(-0.3313857931355863+0j),0.3313857931355863j,-0.9434953397383044j,(-0.9434953397383044+0j)
(-0.37995955975381057+0j),0.37995955975381057j,-0.925003098887615j,(-0.925003098887615+0j)
(-0.21675387154754372+0j),0.21675387154754372j,-0.9762262848177933j,(-0.9762262848177933+0j)
(-0.5811674891371+0j),0.5811674891371j,-0.8137839698409394j,(-0.8137839698409394+0j)
(-0.5957951956944229+0j),0.5957951956944229j,-0.8031364048450578j,(-0.8031364048450578+0j)
(-0.5105225456862615+0j),0.5105225456862615j,-0.8598643674126863j,(-0.8598643674126863+0j)
(-0.5279428611775986+0j),0.5279428611775986j,-0.8492798922214108j,(-0.8492798922214108+0j)
(-0.6078423839927956+0j),0.6078423839927956j,-0.7940577033326702j,(-0.7940577033326702+0j)
(-0.5957100157756998+0j),0.5957100157756998j,-0.8031995873408525j,(-0.8031995873408525+0j)
(-0.5752842801244074+0j),0.5752842801244074j,-0.8179535421047718j,(-0.8179535421047718+0j)
(-0.5837479865638882+0j),0.5837479865638882j,-0.8119349039070847j,(-0.8119349039070847+0j)
(-0.5114101451971035+0j),0.5114101451971035j,-0.8593367578484454j,(-0.8593367578484454+0j)
(-0.5280369993431443+0j),0.5280369993431443j,-0.849221365325136j,(-0.849221365325136+0j)
(-0.5409707266740965+0j),0.5409707266740965j,-0.8410414216206595j,(-0.8410414216206595+0j)
(-0.544370319633915+0j),0.544370319633915j,-0.8388450125629103j,(-0.8388450125629103+0j)
(-0.5270754665582713+0j),0.5270754665582713j,-0.8498184821197882j,(-0.8498184821197882+0j)
(-0.530905379196955+0j),0.530905379196955j,-0.8474311053647591j,(-0.8474311053647591+0j)
(-0.5046137728436432+0j),0.5046137728436432j,-0.8633452034131563j,(-0.8633452034131563+0j)
(-0.5115031309689259+0j),0.5115031309689259j,-0.8592814131639216j,(-0.8592814131639216+0j)
(-0.23374916915198404+0j),0.23374916915198404j,-0.9722969329997689j,(-0.9722969329997689+0j)
(-0.3020979599490063+0j),0.3020979599490063j,-0.9532768866361173j,(-0.9532768866361173+0j)
(-0.3761342966557374+0j),0.3761342966557374j,-0.9265651573846785j,(-0.9265651573846785+0j)
(-0.39290294757117383+0j),0.39290294757117383j,-0.9195799442081605j,(-0.9195799442081605+0j)
(-0.2917646765435613+0j),0.2917646765435613j,-0.9564901324746801j,(-0.9564901324746801+0j)
(-0.31838012989248904+0j),0.31838012989248904j,-0.9479631284441616j,(-0.9479631284441616+0j)
(-0.348019221522556+0j),0.348019221522556j,-0.937487398022413j,(-0.937487398022413+0j)
(-0.20347511570439566+0j),0.20347511570439566j,-0.9790801179112375j,(-0.9790801179112375+0j)
(-0.3772384394360807+0j),0.3772384394360807j,-0.9261161697172934j,(-0.9261161697172934+0j)
(-0.39524442528802617+0j),0.39524442528802617j,-0.918575987209952j,(-0.918575987209952+0j)
(-0.4187873676950543+0j),0.4187873676950543j,-0.9080843246411907j,(-0.9080843246411907+0j)
(-0.4270892012516958+0j),0.4270892012516958j,-0.9042094968391942j,(-0.9042094968391942+0j)
(-0.39464278246390394+0j),0.39464278246390394j,-0.9188346283467705j,(-0.9188346283467705+0j)
(-0.39975558867587063+0j),0.39975558867587063j,-0.9166217700460798j,(-0.9166217700460798+0j)
(-0.3686103050508306+0j),0.3686103050508306j,-0.9295840161116874j,(-0.9295840161116874+0j)
(-0.3785421078642838+0j),0.3785421078642838j,-0.925584071045772j,(-0.925584071045772+0j)
(-0.2796991925026585+0j),0.2796991925026585j,-0.9600876843879215j,(-0.9600876843879215+0j)
(-0.3075278921296903+0j),0.3075278921296903j,-0.9515390667556796j,(-0.9515390667556796+0j)
(-0.31690897675029883+0j),0.31690897675029883j,-0.948455955991146j,(-0.948455955991146+0j)
(-0.1788857941984437+0j),0.1788857941984437j,-0.9838698453728483j,(-0.9838698453728483+0j)
(-0.31045028863264507+0j),0.31045028863264507j,-0.9505896161267003j,(-0.9505896161267003+0j)
(-0.32534651841989914+0j),0.32534651841989914j,-0.9455948619530726j,(-0.9455948619530726+0j)
(-0.271965094574944+0j),0.271965094574944j,-0.9623071169501148j,(-0.9623071169501148+0j)
(-0.28213956999111844+0j),0.28213956999111844j,-0.959373369989613j,(-0.959373369989613+0j)
(-0.29684060153995784+0j),0.29684060153995784j,-0.9549270429081983j,(-0.9549270429081983+0j)
(-0.15581158723497515+0j),0.15581158723497515j,-0.9877867934343514j,(-0.9877867934343514+0j)
(-0.19617060750001997+0j),0.19617060750001997j,-0.9805697796450149j,(-0.9805697796450149+0j)
(-0.2077069606996431+0j),0.2077069606996431j,-0.9781910950713655j,(-0.9781910950713655+0j)
(-0.14510094791497896+0j),0.14510094791497896j,-0.9894168559885033j,(-0.9894168559885033+0j)
(-0.16018639305873264+0j),0.16018639305873264j,-0.987086784167853j,(-0.987086784167853+0j)
(-0.3807805254655894+0j),0.3807805254655894j,-0.9246654483791149j,(-0.9246654483791149+0j)
(-0.2685419093776545+0j),0.2685419093776545j,-0.9632680016006987j,(-0.9632680016006987+0j)
